domain,score
bestbuy.com,0.32815339917523784
amazon.com,0.23136953914925562
target.com,0.1204627044115106
microcenter.com,0.09677846528832904
bhphotovideo.com,0.08394563544024122
walmart.com,0.028452836448577077
newegg.com,0.02482297040945101
energystar.gov,0.01565722867608276
delonghi.com,0.01558131812814506
jbl.com,0.013076720814315329
homedepot.com,0.012321759892904951
anker.com,0.011963997228272958
breville.com,0.006372023005774185
ninjakitchen.com,0.004287671655888233
costco.com,0.0026250452926627984
belkin.com,0.002141445426610168
lowes.com,0.0019872358104501644
pcrichard.com,5.351844322410131e-10
hp.com,5.35184432241013e-10
dell.com,5.351844322410108e-10
cosori.com,5.351844322410108e-10
bjs.com,5.351844322410089e-10
macys.com,5.351844322410088e-10
lenovo.com,5.351844322410082e-10
